t_s,vbat_mv,state
24000,3688,-
24060,3688,-
24120,3684,lit
24180,3688,-
24240,3688,-
24300,3684,-
24360,3688,-
24420,3684,-
24480,3684,-
24540,3684,-
24600,3680,-
24660,3680,-
24720,3680,-
24780,3682,-
24840,3678,-
24900,3680,-
24960,3680,-
25020,3678,-
25080,3678,-
25140,3678,-
25200,3672,-
25260,3672,-
25320,3674,-
25380,3674,-
25440,3672,-
25500,3676,-
25560,3666,-
25620,3672,-
25680,3668,-
25740,3672,-
25800,3672,-
25860,3668,-
25920,3666,-
25980,3670,-
26040,3668,-
26100,3668,-
26160,3668,-
26220,3668,-
26280,3666,-
26340,3668,-
26400,3666,-
26460,3664,-
26520,3666,-
26580,3662,-
26640,3666,-
26700,3664,-
26760,3666,-
26820,3662,-
26880,3662,-
26940,3656,-
27000,3662,-
27060,3658,-
27120,3662,-
27180,3656,-
27240,3662,-
27300,3662,-
27360,3656,-
27420,3658,-
27480,3662,-
27540,3658,-
27600,3654,-
27660,3656,-
27720,3656,-
27780,3658,-
27840,3652,-
27900,3648,-
27960,3652,-
28020,3650,-
28080,3648,-
28140,3650,-
28200,3652,-
28260,3652,-
28320,3652,-
28380,3652,-
28440,3650,-
28500,3650,-
28560,3646,-
28620,3648,-
28680,3648,-
28740,3646,-
28800,3648,-
28860,3646,-
28920,3646,-
28980,3642,-
29040,3646,-
29100,3642,-
29160,3642,-
29220,3636,-
29280,3638,-
29340,3638,-
29400,3638,-
29460,3642,-
29520,3638,-
29580,3634,-
29640,3632,-
29700,3640,-
29760,3642,-
29820,3636,-
29880,3636,-
29940,3636,-
30000,3634,-
30060,3638,-
30120,3640,-
30180,3632,-
30240,3638,-
30300,3636,-
30360,3634,-
30420,3632,-
30480,3632,-
30540,3632,-
30600,3632,-
30660,3636,-
30720,3636,-
30780,3632,-
30840,3628,-
30900,3638,-
30960,3630,-
31020,3628,-
31080,3630,-
31140,3628,-
31200,3626,-
31260,3628,-
31320,3628,-
31380,3626,-
31440,3628,-
31500,3626,-
31560,3620,-
31620,3622,-
31680,3622,-
31740,3624,-
31800,3620,-
31860,3622,-
31920,3620,-
31980,3622,-
32040,3622,-
32100,3620,-
32160,3618,-
32220,3622,-
32280,3620,-
32340,3614,-
32400,3620,-
32460,3616,-
32520,3618,-
32580,3620,-
32640,3618,-
32700,3618,-
32760,3614,-
32820,3612,-
32880,3612,-
32940,3608,-
33000,3612,-
33060,3608,-
33120,3610,-
