t_s,vbat_mv,state
0,4200,lit
60,4196,-
120,4192,-
180,4188,-
240,4186,-
300,4182,-
360,4178,-
420,4184,-
480,4172,-
540,4178,-
600,4172,-
660,4170,-
720,4170,-
780,4170,-
840,4170,-
900,4162,-
960,4162,-
1020,4158,-
1080,4158,-
1140,4154,-
1200,4156,-
1260,4154,-
1320,4148,-
1380,4144,-
1440,4142,-
1500,4144,-
1560,4142,-
1620,4144,-
1680,4136,-
1740,4136,-
1800,4132,-
1860,4132,-
1920,4130,-
1980,4128,-
2040,4128,-
2100,4128,-
2160,4126,-
2220,4122,-
2280,4122,-
2340,4122,-
2400,4116,-
2460,4114,-
2520,4112,-
2580,4104,-
2640,4112,-
2700,4106,-
2760,4106,-
2820,4102,-
2880,4102,-
2940,4102,-
3000,4100,-
3060,4098,-
3120,4096,-
3180,4090,-
3240,4090,-
3300,4092,-
3360,4086,-
3420,4084,-
3480,4086,-
3540,4084,-
3600,4082,-
3660,4076,-
3720,4076,-
3780,4076,-
3840,4076,-
3900,4076,-
3960,4074,-
4020,4062,-
4080,4066,-
4140,4062,-
4200,4064,-
4260,4064,-
4320,4064,-
4380,4058,-
4440,4054,-
4500,4056,-
4560,4054,-
4620,4052,-
4680,4050,-
4740,4052,-
4800,4052,-
4860,4048,-
4920,4044,-
4980,4046,-
5040,4042,-
5100,4042,-
5160,4038,-
5220,4038,-
5280,4034,-
5340,4030,-
5400,4032,-
5460,4030,-
5520,4028,-
5580,4026,-
5640,4024,-
5700,4024,-
5760,4024,-
5820,4014,-
5880,4020,-
5940,4014,-
6000,4010,-
6060,4016,-
6120,4014,-
6180,4012,-
6240,4012,-
6300,4008,-
6360,4004,-
6420,4008,-
6480,4002,-
6540,4002,-
6600,4000,-
6660,4000,-
6720,4000,-
6780,4000,-
6840,3986,-
6900,3992,-
6960,3986,-
7020,3988,-
7080,3992,-
7140,3986,-
7200,3988,-
7260,3980,-
7320,3980,-
7380,3978,-
7440,3982,-
7500,3976,-
7560,3976,-
7620,3976,-
7680,3974,-
7740,3974,-
7800,3974,-
7860,3970,-
7920,3964,-
7980,3966,-
8040,3966,-
8100,3962,-
8160,3960,-
8220,3960,-
8280,3958,-
8340,3952,-
8400,3958,-
8460,3950,-
8520,3952,-
8580,3952,-
8640,3948,-
8700,3948,-
8760,3946,-
8820,3946,-
8880,3946,-
8940,3942,-
9000,3942,-
9060,3934,-
9120,3936,-
9180,3936,-
9240,3936,-
9300,3934,-
9360,3932,-
9420,3928,-
9480,3930,-
9540,3926,-
9600,3924,-
9660,3922,-
9720,3924,-
9780,3924,-
9840,3920,-
9900,3924,-
9960,3918,-
10020,3916,-
10080,3914,-
10140,3910,-
10200,3910,-
10260,3910,-
10320,3910,-
10380,3902,-
10440,3908,-
10500,3906,-
10560,3902,-
10620,3900,-
10680,3896,-
10740,3898,-
10800,3896,-
10860,3894,-
10920,3890,-
10980,3892,-
11040,3890,-
11100,3890,-
11160,3888,-
11220,3884,-
11280,3886,-
11340,3882,-
11400,3882,-
11460,3882,-
11520,3876,-
11580,3876,-
11640,3876,-
11700,3876,-
11760,3870,-
11820,3876,-
11880,3872,-
11940,3872,-
12000,3862,-
12060,3866,-
12120,3866,-
12180,3864,-
12240,3862,-
12300,3858,-
12360,3856,-
12420,3856,-
12480,3858,-
12540,3858,-
12600,3854,-
12660,3850,-
12720,3848,-
12780,3848,-
12840,3844,-
12900,3846,-
12960,3840,-
13020,3840,-
13080,3842,-
13140,3838,-
13200,3836,-
13260,3838,-
13320,3834,-
13380,3830,-
13440,3830,-
13500,3832,-
13560,3830,-
13620,3832,-
13680,3820,-
13740,3828,-
13800,3820,-
13860,3816,-
13920,3820,-
13980,3820,-
14040,3820,-
14100,3816,-
14160,3814,-
14220,3814,-
14280,3810,-
14340,3808,-
14400,3808,-
14460,3806,-
14520,3806,-
14580,3806,-
14640,3804,-
14700,3800,-
14760,3798,-
14820,3798,-
14880,3792,-
14940,3794,-
15000,3794,-
15060,3792,-
15120,3792,-
15180,3792,-
15240,3784,-
15300,3784,-
15360,3784,-
15420,3782,-
15480,3782,-
15540,3776,-
15600,3778,-
15660,3780,-
15720,3780,lit
15780,3774,-
15840,3774,-
15900,3776,-
15960,3770,-
16020,3764,-
16080,3766,-
16140,3762,-
16200,3762,-
16260,3768,-
16320,3758,-
16380,3758,-
16440,3758,-
16500,3756,-
16560,3758,-
16620,3752,-
16680,3752,-
16740,3752,-
16800,3748,-
16860,3750,-
16920,3748,-
16980,3746,-
17040,3746,-
17100,3742,-
17160,3740,-
17220,3742,-
17280,3742,-
17340,3740,-
17400,3736,-
17460,3734,-
17520,3730,-
17580,3730,-
17640,3726,-
17700,3728,-
17760,3728,-
17820,3722,-
17880,3722,-
17940,3728,-
18000,3726,-
18060,3722,-
18120,3720,-
18180,3720,-
18240,3720,-
18300,3716,-
18360,3714,-
18420,3714,-
18480,3710,-
18540,3716,-
18600,3714,-
18660,3714,-
18720,3708,-
18780,3710,-
18840,3706,-
18900,3704,-
18960,3706,-
19020,3704,-
19080,3704,-
19140,3698,-
19200,3696,-
19260,3702,-
19320,3696,-
19380,3700,-
19440,3702,-
19500,3700,-
19560,3700,-
19620,3698,-
19680,3694,-
19740,3688,-
19800,3690,-
19860,3692,-
19920,3690,-
19980,3690,-
20040,3692,-
20100,3688,-
20160,3688,-
20220,3688,-
20280,3688,-
20340,3690,-
20400,3692,-
20460,3684,-
20520,3688,-
20580,3684,-
20640,3680,-
20700,3686,-
20760,3680,-
20820,3684,-
20880,3678,-
20940,3680,-
21000,3676,-
21060,3680,-
21120,3680,-
21180,3676,-
21240,3674,-
21300,3674,-
21360,3674,-
21420,3676,-
21480,3676,-
21540,3674,-
21600,3674,-
21660,3670,-
21720,3674,-
21780,3664,-
21840,3670,-
21900,3670,-
21960,3668,-
22020,3668,-
22080,3662,-
22140,3668,-
22200,3664,-
22260,3666,-
22320,3662,-
22380,3666,-
22440,3658,-
22500,3662,-
22560,3658,-
22620,3662,-
22680,3664,-
22740,3662,-
22800,3660,-
22860,3664,-
22920,3656,-
22980,3658,-
23040,3660,-
23100,3658,-
23160,3656,-
23220,3654,-
23280,3654,-
23340,3656,-
23400,3654,-
23460,3654,-
23520,3654,-
23580,3654,-
23640,3652,-
23700,3650,-
23760,3650,-
23820,3650,-
23880,3646,-
