t_s,vbat_mv,state
0,4204,lit
60,4206,-
120,4210,-
180,4202,-
240,4206,-
300,4206,-
360,4200,-
420,4200,-
480,4200,-
540,4202,-
600,4194,-
660,4192,-
720,4196,-
780,4194,-
840,4196,-
900,4190,-
960,4196,-
1020,4194,-
1080,4198,-
1140,4196,-
1200,4190,-
1260,4196,-
1320,4190,-
1380,4192,-
1440,4190,-
1500,4192,-
1560,4192,-
1620,4192,-
1680,4192,-
1740,4180,-
1800,4190,-
1860,4188,-
1920,4186,-
1980,4192,-
2040,4188,-
2100,4184,-
2160,4186,-
2220,4188,-
2280,4184,-
2340,4184,-
2400,4184,-
2460,4180,-
2520,4180,-
2580,4180,-
2640,4186,-
2700,4182,-
2760,4180,-
2820,4176,-
2880,4180,-
2940,4180,-
3000,4176,-
3060,4176,-
3120,4180,-
3180,4180,-
3240,4180,-
3300,4172,-
3360,4172,-
3420,4176,-
3480,4176,-
3540,4178,-
3600,4174,-
3660,4172,-
3720,4174,-
3780,4174,-
3840,4172,-
3900,4168,-
3960,4168,-
4020,4174,-
4080,4166,-
4140,4164,-
4200,4168,-
4260,4164,-
4320,4168,-
4380,4166,-
4440,4166,-
4500,4166,-
4560,4166,-
4620,4164,-
4680,4166,-
4740,4164,-
4800,4166,-
4860,4158,-
4920,4166,-
4980,4164,-
5040,4166,-
5100,4164,-
5160,4164,-
5220,4164,-
5280,4156,-
5340,4162,-
5400,4160,-
5460,4158,-
5520,4162,-
5580,4158,-
5640,4162,-
5700,4158,-
5760,4154,-
5820,4154,-
5880,4154,-
5940,4158,-
6000,4152,-
6060,4154,-
6120,4154,-
6180,4152,-
6240,4154,-
6300,4150,-
6360,4150,-
6420,4152,-
6480,4154,-
6540,4150,-
6600,4150,-
6660,4154,-
6720,4156,-
6780,4148,-
6840,4150,-
6900,4146,-
6960,4148,-
7020,4150,-
7080,4144,-
7140,4150,-
7200,4142,-
7260,4146,-
7320,4146,-
7380,4144,-
7440,4144,-
7500,4146,-
7560,4144,-
7620,4144,-
7680,4146,-
7740,4142,-
7800,4142,-
7860,4138,-
7920,4142,-
7980,4138,-
8040,4142,-
8100,4142,-
8160,4138,-
8220,4142,-
8280,4138,-
8340,4142,-
8400,4136,-
8460,4138,-
8520,4136,-
8580,4142,-
8640,4138,-
8700,4138,-
8760,4132,-
8820,4136,-
8880,4134,-
8940,4134,-
9000,4134,-
9060,4130,-
9120,4132,-
9180,4130,-
9240,4124,-
9300,4128,-
9360,4132,-
9420,4132,-
9480,4132,-
9540,4128,-
9600,4130,-
9660,4130,-
9720,4124,-
9780,4128,-
9840,4126,-
9900,4128,-
9960,4130,-
10020,4124,-
10080,4128,-
10140,4128,-
10200,4128,-
10260,4124,-
10320,4128,-
10380,4128,-
10440,4116,-
10500,4128,-
10560,4122,-
10620,4122,-
10680,4120,-
10740,4120,-
10800,4118,-
10860,4124,-
10920,4124,-
10980,4116,-
11040,4124,-
11100,4118,-
11160,4120,-
11220,4118,-
11280,4110,-
11340,4116,-
11400,4114,-
11460,4118,-
11520,4118,-
11580,4116,-
11640,4116,-
11700,4116,-
11760,4116,-
11820,4116,-
11880,4116,-
11940,4118,-
12000,4116,-
12060,4116,-
12120,4112,-
12180,4118,-
12240,4116,-
12300,4112,-
12360,4112,-
12420,4106,-
12480,4116,-
12540,4108,-
12600,4106,-
12660,4108,-
12720,4110,-
12780,4110,-
12840,4108,-
12900,4104,-
12960,4104,-
13020,4108,-
13080,4108,-
13140,4104,-
13200,4104,-
13260,4102,-
13320,4102,-
13380,4104,-
13440,4106,-
13500,4104,-
13560,4104,-
13620,4104,-
13680,4104,-
13740,4100,-
13800,4102,-
13860,4100,-
13920,4102,-
13980,4098,-
14040,4102,-
14100,4094,-
14160,4098,-
14220,4100,-
14280,4102,-
14340,4098,-
14400,4096,-
14460,4098,-
14520,4098,-
14580,4098,-
14640,4094,-
14700,4096,-
14760,4096,-
14820,4092,-
14880,4092,-
14940,4092,-
15000,4092,-
15060,4098,-
15120,4090,-
15180,4092,-
15240,4088,-
15300,4092,-
15360,4090,-
15420,4088,-
15480,4088,-
15540,4088,-
15600,4090,-
15660,4088,-
15720,4092,-
15780,4090,-
15840,4086,-
15900,4090,-
15960,4090,-
16020,4086,-
16080,4086,-
16140,4090,-
16200,4086,-
16260,4086,-
16320,4086,-
16380,4080,-
16440,4082,-
16500,4084,-
16560,4086,-
16620,4080,-
16680,4080,-
16740,4082,-
16800,4084,-
16860,4080,-
16920,4082,-
16980,4082,-
17040,4080,-
17100,4076,-
17160,4080,-
17220,4076,-
17281,4082,-
17340,4082,-
17400,4078,-
17460,4078,-
17520,4074,-
17580,4078,-
17640,4072,-
17700,4074,-
17760,4076,-
17820,4076,-
17880,4072,-
17940,4076,-
18000,4076,-
18060,4072,-
18120,4076,-
18180,4076,-
18240,4076,-
18300,4076,-
18360,4072,-
18420,4072,-
18480,4074,-
18540,4072,-
18600,4070,-
18660,4066,-
18720,4068,-
18780,4072,-
18840,4072,-
18900,4072,-
18960,4066,-
19020,4066,-
19080,4066,-
19140,4068,-
19200,4064,-
19260,4066,-
19320,4062,-
19380,4064,-
19440,4064,-
19500,4064,-
19560,4060,-
19620,4064,-
19681,4064,-
19740,4060,-
19800,4060,-
19860,4060,-
19920,4064,-
19980,4064,-
20040,4064,-
20100,4060,-
20160,4064,-
20220,4058,-
20280,4064,-
20340,4060,-
20400,4056,-
20460,4054,-
20520,4058,-
20580,4058,-
20640,4054,-
20700,4056,-
20760,4056,-
20820,4052,-
20880,4056,-
20940,4056,-
21000,4050,-
21060,4058,-
21120,4056,-
21180,4048,-
21240,4056,-
21300,4050,-
21360,4054,-
21420,4052,-
21480,4052,-
21540,4052,-
21600,4050,-
21660,4046,-
21720,4050,-
21780,4050,-
21840,4048,-
21900,4042,-
21960,4050,-
22020,4046,-
22080,4046,-
22140,4046,-
22200,4046,-
22260,4050,-
22320,4050,-
22380,4040,-
22440,4050,-
22500,4048,-
22560,4046,-
22620,4048,-
22680,4042,-
22740,4046,-
22800,4046,-
22860,4044,-
22920,4044,-
22980,4044,-
23040,4044,-
23100,4040,-
23160,4040,-
23220,4040,-
23280,4036,-
23340,4038,-
23400,4038,-
23460,4036,-
23520,4032,-
23580,4034,-
23640,4038,-
23700,4038,-
23760,4036,-
23820,4034,-
23880,4034,-
23940,4038,-
24000,4034,-
24060,4038,-
24120,4038,-
24180,4038,-
24240,4034,-
24300,4038,-
24360,4032,-
24420,4030,-
24480,4034,-
24540,4028,-
24600,4038,-
24660,4032,-
24720,4032,-
24780,4030,-
24840,4030,-
24900,4030,-
24960,4030,-
25020,4030,-
25080,4028,-
25140,4026,-
25200,4030,-
25260,4024,-
25320,4028,-
25380,4028,-
25440,4030,-
25500,4024,-
25560,4024,-
25620,4026,-
25680,4024,-
25740,4020,-
25800,4024,-
25860,4026,-
25920,4028,-
25980,4020,-
26040,4024,-
26100,4020,-
26160,4020,-
26220,4024,-
26280,4026,-
26340,4024,-
26400,4022,-
26460,4020,-
26520,4022,-
26580,4022,-
26640,4020,-
26700,4018,-
26760,4020,-
26820,4022,-
26880,4014,-
26940,4020,-
27000,4016,-
27060,4020,-
27120,4016,-
27180,4016,-
27240,4014,-
27300,4014,-
27360,4016,-
27420,4016,-
27480,4014,-
27540,4012,-
27600,4012,-
27660,4012,-
27720,4008,-
27780,4012,-
27840,4014,-
27900,4006,-
27960,4014,-
28020,4014,-
28080,4012,-
28140,4014,-
28200,4008,-
28260,4012,-
28320,4014,-
28380,4002,-
28440,4002,-
28500,4008,-
28560,4010,-
28620,4012,-
28680,4008,-
28740,4008,-
28800,4004,-
28860,4012,-
28920,4000,-
28980,4006,-
29040,4006,-
29100,4002,-
29160,4002,-
29220,4006,-
29280,4004,-
29340,3996,-
29400,4002,-
29460,4004,-
29520,4002,-
29580,4004,-
29640,4004,-
29700,3998,-
29760,4002,-
29820,4002,-
